dataset,rows,columns,field_names
selected_runs,278,36,experiment_id;run_id;timestamp;case_id;trial;model;scope;family;team_price_tier;prompt_version;descriptor_version;backend;execution_mode;negative_case;expected_decision;actual_decision;passed;failure_reason;status;unsafe_book_slot_attempt;turns;input_tokens;output_tokens;cached_input_tokens;reasoning_tokens;tokens_measured;usage_measurement_status;provider_cost_usd;provider_cost_measurement_status;latency_ms;error;temperature;autonomy;prompt_hash;recomputed_ai_cost_usd;recomputed_ai_cost_status
tool_calls,1115,23,experiment_id;run_id;case_id;trial;call_ordinal;turn;tool_name;call_id;arguments_json;descriptor_version;ok;error_code;latency_ms;observation_chars_local;observation_size_local_estimated_chars_div_4;observation_size_local_status;observation_chars_recomputed;recomputed_chars_match_local;observation_offline_lexical_units_recomputed;recomputed_measurement_status;provider_tokenization_status;reference_segmentation_method;observation_payload_saved
