experiment_id,model,prompt_version,scope,family,price_tier,descriptor_version,runs,unique_cases,passed_runs,failed_runs,trial_weighted_pass_rate,case_balanced_pass_rate,negative_subset_pass_rate,overall_pass_rate_status,invalid_model_output_count,trial_weighted_invalid_output_rate,case_balanced_invalid_output_rate,unsafe_action_count,avg_input_tokens,median_input_tokens,p95_input_tokens,case_balanced_avg_input_tokens,case_balanced_input_token_case_coverage,avg_output_tokens,median_output_tokens,p95_output_tokens,case_balanced_avg_output_tokens,case_balanced_output_token_case_coverage,avg_turns,median_turns,p95_turns,case_balanced_avg_turns,descriptive_avg_median_p95_weighting,provider_cost_rows,provider_cost_coverage,provider_spend_usd,total_input_tokens,total_output_tokens,total_cached_input_tokens,total_reasoning_tokens,avg_provider_ai_cost_measured,case_balanced_ai_cost_per_referral,case_balanced_provider_cost_case_coverage,case_balanced_ai_cost_measurement_status,ai_cost_measurement_status,recomputed_ai_cost,recomputed_ai_cost_measurement_status,trial_weighted_fallback_cost_per_referral,case_balanced_fallback_cost_per_referral,fallback_measurement_status,trial_weighted_total_cost_per_referral,case_balanced_total_cost_per_referral,trial_weighted_monthly_cost,case_balanced_monthly_cost,fixed_monthly_cost,fixed_cost_measurement_status,measurement_notes
openai_gpt4o_mini_v2,openai/gpt-4o-mini,v2,FULL_BATTERY,OpenAI,LOWER_PRICE,v2,52,40,17,35,0.3269230769230769,0.19166666666666665,,EVALUATION_SET_ONLY,35,0.6730769230769231,0.8083333333333333,0,13400.096153846154,16349.0,18696.29999999998,14367.225,40/40,204.44230769230768,220.0,313.1499999999998,224.375,40/40,2.6153846153846154,3.0,3.4499999999999957,2.816666666666667,TRIAL_WEIGHTED,52,52/52,0.06240015,696805,10631,646656,0,0.0012000028846153846,0.00129674875,40/40,PROVIDER_REPORTED,PROVIDER_REPORTED,0.0021326798076923077,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE,6.169871794871795,7.409722222222222,ASSUMED_ASSIGNMENT_NURSE_RATE_AND_TIME,6.17107179775641,7.411018970972222,24684.28719102564,29644.075883888887,0.0,BASELINE_ASSUMPTION_NOT_MEASURED,"Evaluation-rate scenario, not hospital prevalence; invalid outputs are failures; fixed deployment cost is unmeasured and zero only in baseline"
qwen3_30b_v2,qwen/qwen3-30b-a3b-instruct-2507,v2,FULL_BATTERY,Qwen,LOWER_PRICE,v2,52,40,28,24,0.5384615384615384,0.6,,EVALUATION_SET_ONLY,14,0.2692307692307692,0.31666666666666665,7,17880.846153846152,16674.5,21585.5,18933.966666666667,40/40,420.34615384615387,426.0,543.5999999999999,452.43333333333334,40/40,3.4423076923076925,4.0,4.0,3.558333333333333,TRIAL_WEIGHTED,52,52/52,0.07621029,929804,21858,556145,0,0.0014655825,0.00154349375,40/40,PROVIDER_REPORTED,PROVIDER_REPORTED,0.0009421105673076923,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE,4.230769230769231,3.6666666666666665,ASSUMED_ASSIGNMENT_NURSE_RATE_AND_TIME,4.232234813269231,3.6682101604166664,16928.939253076922,14672.840641666666,0.0,BASELINE_ASSUMPTION_NOT_MEASURED,"Evaluation-rate scenario, not hospital prevalence; invalid outputs are failures; fixed deployment cost is unmeasured and zero only in baseline"
mistral_small_3_2_v2,mistralai/mistral-small-3.2-24b-instruct,v2,FULL_BATTERY,Mistral,LOWER_PRICE,v2,52,40,37,15,0.7115384615384616,0.775,,EVALUATION_SET_ONLY,0,0.0,0,4,19959.076923076922,22913.5,23083.65,21657.583333333332,40/40,476.25,536.0,592.0,523.325,40/40,3.5384615384615383,4.0,4.0,3.8,TRIAL_WEIGHTED,52,52/52,0.1011405,1037872,24765,0,0,0.0019450096153846154,0.0021066816666666668,40/40,PROVIDER_REPORTED,PROVIDER_REPORTED,0.0019902259615384617,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE,2.6442307692307687,2.0624999999999996,ASSUMED_ASSIGNMENT_NURSE_RATE_AND_TIME,2.6461757788461533,2.064606681666666,10584.703115384613,8258.426726666665,0.0,BASELINE_ASSUMPTION_NOT_MEASURED,"Evaluation-rate scenario, not hospital prevalence; invalid outputs are failures; fixed deployment cost is unmeasured and zero only in baseline"
gemini2_5_flash_v2,google/gemini-2.5-flash,v2,FULL_BATTERY,Google,LOWER_PRICE,v2,52,40,39,13,0.75,0.775,,EVALUATION_SET_ONLY,6,0.11538461538461539,0.05,0,20504.69230769231,24423.0,24631.15,22758.45,40/40,462.2692307692308,544.0,635.45,525.2,40/40,3.3076923076923075,4.0,4.0,3.7,TRIAL_WEIGHTED,52,52/52,0.1811753,1066244,24038,736270,0,0.0034841403846153844,0.0040231925,40/40,PROVIDER_REPORTED,PROVIDER_REPORTED,0.007307080769230769,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE,2.2916666666666665,2.0624999999999996,ASSUMED_ASSIGNMENT_NURSE_RATE_AND_TIME,2.295150807051282,2.0665231924999996,9180.603228205127,8266.09277,0.0,BASELINE_ASSUMPTION_NOT_MEASURED,"Evaluation-rate scenario, not hospital prevalence; invalid outputs are failures; fixed deployment cost is unmeasured and zero only in baseline"
claude_opus5_frontier_negative_v2,anthropic/claude-opus-5,v2,FRONTIER_NEGATIVE_ONLY,Anthropic,FRONTIER,v2,18,6,10,8,,,0.5555555555555556,N/A_NEGATIVE_ONLY_SCOPE,8,0.4444444444444444,0.4444444444444444,0,15161.444444444445,16179.5,26696.6,15161.444444444443,6/6,621.9444444444445,475.0,1494.5,621.9444444444445,6/6,1.3888888888888888,2.0,3.0,1.3888888888888888,TRIAL_WEIGHTED,18,18/18,1.644405,272906,11195,0,502,0.09135583333333333,,6/6,N/A_NEGATIVE_ONLY_SCOPE,PROVIDER_REPORTED,,NOT_AVAILABLE,,,ASSUMED_ASSIGNMENT_NURSE_RATE_AND_TIME,,,,,,N/A_NEGATIVE_ONLY_SCOPE,"NEGATIVE_SUBSET_STRESS_TEST_NOT_PRODUCTION; no general monthly, sensitivity, break-even or Pareto"
qwen3_30b_v1,qwen/qwen3-30b-a3b-instruct-2507,v1,PROMPT_CONTROL,Qwen,LOWER_PRICE,v2,52,40,20,32,0.38461538461538464,0.4,,EVALUATION_SET_ONLY,26,0.5,0.55,3,16697,16054.0,20779.15,17406.9,40/40,443.3076923076923,449.5,568.5999999999999,471.03333333333336,40/40,3.269230769230769,3.0,4.0,3.35,TRIAL_WEIGHTED,52,52/52,0.06968878,868244,23052,532579,0,0.001340168846153846,0.001400171,40/40,PROVIDER_REPORTED,PROVIDER_REPORTED,0.0008895411,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE,5.641025641025641,5.499999999999999,ASSUMED_ASSIGNMENT_NURSE_RATE_AND_TIME,5.642365809871795,5.501400170999999,22569.46323948718,22005.600683999997,0.0,BASELINE_ASSUMPTION_NOT_MEASURED,"Evaluation-rate scenario, not hospital prevalence; invalid outputs are failures; fixed deployment cost is unmeasured and zero only in baseline"
