metric,value_usd,scope,measurement_status,scored_run_denominator
selected_scored_run_spend,2.13502002,CURRENT_SELECTED_EVALUATION_SPEND,RECOMPUTED_FROM_FROZEN_D5_PROVIDER_CHARGES,278
extra_charged_mistral_provider_error,0.00031845,CURRENT_SELECTED_EVALUATION_SPEND,RECOMPUTED_FROM_FROZEN_D5_PROVIDER_CHARGES,0
recorded_selected_model_charges_including_error,2.13533847,CURRENT_SELECTED_EVALUATION_SPEND,RECOMPUTED_FROM_FROZEN_D5_PROVIDER_CHARGES,0
historical_account_increment,0.653968992,HISTORICAL_SUPERSEDED_ACCOUNT_SNAPSHOT_NOT_CURRENT_SELECTED_SPEND,DOCUMENT_REPORTED_HISTORICAL_CONTEXT,
historical_unattributed_residual,0.018762122,HISTORICAL_SUPERSEDED_ACCOUNT_SNAPSHOT_NOT_CURRENT_SELECTED_SPEND,DOCUMENT_REPORTED_HISTORICAL_CONTEXT,
