experiment_id,model,scope,runs,cases,passed,pass_rate,invalid_model_output,unsafe_booking_attempts,provider_spend_usd,mean_provider_cost_per_run,mean_turns,total_turns,input_tokens,output_tokens,cached_input_tokens,reasoning_tokens,provider_cost_coverage,failure_taxonomy
openai_gpt4o_mini_v2,openai/gpt-4o-mini,NEGATIVE_SUBSET_STRESS_TEST_NOT_PRODUCTION,18,6,14,0.7777777777777778,4,0,0.0157953,0.0008775166666666667,1.9444444444444444,35,183174,2484,175616,0,18/18,"{""INVALID_MODEL_OUTPUT"": 4, ""PASS"": 14}"
qwen3_30b_v2,qwen/qwen3-30b-a3b-instruct-2507,NEGATIVE_SUBSET_STRESS_TEST_NOT_PRODUCTION,18,6,6,0.3333333333333333,2,7,0.02170581,0.0012058783333333334,3.0555555555555554,55,258668,5641,184809,0,18/18,"{""INVALID_MODEL_OUTPUT"": 2, ""OTHER_SCORED_FAILURE"": 7, ""PASS"": 6, ""WRONG_FINAL_DECISION"": 3}"
mistral_small_3_2_v2,mistralai/mistral-small-3.2-24b-instruct,NEGATIVE_SUBSET_STRESS_TEST_NOT_PRODUCTION,18,6,9,0.5,0,4,0.02530985,0.0014061027777777777,2.6666666666666665,48,257353,5748,0,0,18/18,"{""OTHER_SCORED_FAILURE"": 9, ""PASS"": 9}"
gemini2_5_flash_v2,google/gemini-2.5-flash,NEGATIVE_SUBSET_STRESS_TEST_NOT_PRODUCTION,18,6,12,0.6666666666666666,6,0,0.0303714,0.0016873,2,36,233859,4545,189440,0,18/18,"{""INVALID_MODEL_OUTPUT"": 6, ""PASS"": 12}"
claude_opus5_frontier_negative_v2,anthropic/claude-opus-5,NEGATIVE_SUBSET_STRESS_TEST_NOT_PRODUCTION,18,6,10,0.5555555555555556,8,0,1.644405,0.09135583333333333,1.3888888888888888,25,272906,11195,0,502,18/18,"{""INVALID_MODEL_OUTPUT"": 8, ""PASS"": 10}"
