variant,backend,model,descriptor_version,call_mode,runs,passed,pass_rate,negative_runs,negative_guardrail_passed,negative_guardrail_pass_rate,avg_turns,avg_iterations,avg_tokens_in,avg_tokens_out,all_provider_tokens_measured,avg_cost_usd,prompt_tokens_estimated_chars_div_4_per_call,avg_retransmitted_prompt_tokens_estimated,avg_tool_return_tokens_estimated_chars_div_4
callmode_v2_sequential,scripted,scripted,v2,sequential,120,120,1,18,18,1,4.7,5.675,0,0,False,0.0,4065,23068.875,66.2234
descriptor_v1_parallel,scripted,scripted,v1,parallel,120,120,1,18,18,1,3.725,4.7,0,0,False,0.0,3738,17568.6,63.3989
descriptor_v2_parallel,scripted,scripted,v2,parallel,120,120,1,18,18,1,3.725,4.7,0,0,False,0.0,4065,19105.5,66.2234
