policy,backend,model,cases,trial_policy,runs,automatic_pass_rate,outcome_pass_rate,diagnostic_clean_rate,final_pass_rate,negative_runs,negative_final_pass_rate,pending_review,judge
"prompt_version=v1|descriptor_version=v1|call_mode=parallel|autonomy=confirm",scripted,scripted,40,"ordinary=1; negative=3",52,1.0,1.0,1.0,1.0,18,1.0,0,"OpenAI Codex (GPT-5)"
"prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm",scripted,scripted,40,"ordinary=1; negative=3",52,1.0,1.0,1.0,1.0,18,1.0,0,"OpenAI Codex (GPT-5)"
