experiment_id,model_id,family,scope,team_price_tier,tier_basis,prompt_version,source_commit,runs,unique_cases,selected_final
openai_gpt4o_mini_v2,openai/gpt-4o-mini,OpenAI,full_battery,lower_price,team_selected_experiment_not_official_model_mapping,v2,3d842b705afb58610a781b2351ddc27d3d9ccc0b,52,40,True
qwen3_30b_v2,qwen/qwen3-30b-a3b-instruct-2507,Qwen,full_battery,lower_price,team_selected_experiment_not_official_model_mapping,v2,3d842b705afb58610a781b2351ddc27d3d9ccc0b,52,40,True
mistral_small_3_2_v2,mistralai/mistral-small-3.2-24b-instruct,Mistral,full_battery,lower_price,team_selected_experiment_not_official_model_mapping,v2,3d842b705afb58610a781b2351ddc27d3d9ccc0b,52,40,True
gemini2_5_flash_v2,google/gemini-2.5-flash,Google,full_battery,lower_price,team_selected_experiment_not_official_model_mapping,v2,3d842b705afb58610a781b2351ddc27d3d9ccc0b,52,40,True
claude_opus5_frontier_negative_v2,anthropic/claude-opus-5,Anthropic,negative_only,frontier,team_selected_experiment_not_official_model_mapping,v2,a009c01c5343313a11eeddd895dd2faa0836e378,18,6,True
qwen3_30b_v1,qwen/qwen3-30b-a3b-instruct-2507,Qwen,prompt_control,lower_price,team_selected_experiment_not_official_model_mapping,v1,3d842b705afb58610a781b2351ddc27d3d9ccc0b,52,40,True
