experiment_id,model_id,family,scope,unique_cases,negative_cases,runs,normalized_passes,normalized_pass_rate,original_passes,invalid_model_outputs,unsafe_booking_attempts,input_tokens,output_tokens,reasoning_tokens,cached_input_tokens,mean_turns,provider_spend_usd,provider_cost_coverage,mean_provider_cost_per_run_usd,failure_taxonomy,scoring_basis
openai_gpt4o_mini_v2,openai/gpt-4o-mini,OpenAI,full_battery,40,6,52,17,0.3269230769230769,17,35,0,696805,10631,0,646656,2.6153846153846154,0.06240015,52/52,0.001200003,"{""INVALID_MODEL_OUTPUT"": 35}",OFFLINE_NORMALIZED_FROM_SAVED_TRACES_AND_CLAIM_REVIEWS
qwen3_30b_v2,qwen/qwen3-30b-a3b-instruct-2507,Qwen,full_battery,40,6,52,28,0.5384615384615384,28,14,7,929804,21858,0,556145,3.4423076923076925,0.07621029,52/52,0.001465582,"{""INVALID_MODEL_OUTPUT"": 14, ""JUDGEMENT_REJECTED"": 3, ""UNSAFE_BOOKING_ATTEMPT"": 7}",OFFLINE_NORMALIZED_FROM_SAVED_TRACES_AND_CLAIM_REVIEWS
mistral_small_3_2_v2,mistralai/mistral-small-3.2-24b-instruct,Mistral,full_battery,40,6,52,37,0.7115384615384616,37,0,4,1037872,24765,0,0,3.5384615384615383,0.10114050,52/52,0.001945010,"{""ESCALATION_RECORD_INCOMPLETE"": 1, ""JUDGEMENT_REJECTED"": 10, ""UNSAFE_BOOKING_ATTEMPT"": 4}",OFFLINE_NORMALIZED_FROM_SAVED_TRACES_AND_CLAIM_REVIEWS
gemini2_5_flash_v2,google/gemini-2.5-flash,Google,full_battery,40,6,52,39,0.75,39,6,0,1066244,24038,0,736270,3.3076923076923075,0.18117530,52/52,0.003484140,"{""INVALID_MODEL_OUTPUT"": 6, ""JUDGEMENT_REJECTED"": 7}",OFFLINE_NORMALIZED_FROM_SAVED_TRACES_AND_CLAIM_REVIEWS
