experiment_id,model,formal_runs,provider_cost_rows,provider_reported_scored_spend_usd,config_list_rate_recomputed_spend_usd,provider_minus_recomputed_usd,diagnostic_label,recomputed_cost_status,diagnostic_note,missing_provider_cost_rows,scope
openai_gpt4o_mini_v2,openai/gpt-4o-mini,52,52,0.06240015,0.1108993499999999959,-0.0484991999999999959,PROVIDER_VS_LIST_RATE_DIFFERENCE,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE_NOT_INVOICE,"Config list-rate calculation can differ from provider-reported charge, including cached or provider-specific pricing; not a billing-error finding",0,CURRENT_SELECTED_SCORED_RUN_EVALUATION_ONLY;EXCLUDES_EXTRA_PROVIDER_ERROR
qwen3_30b_v2,qwen/qwen3-30b-a3b-instruct-2507,52,52,0.07621029,0.04898974949999999894,0.02722054050000000106,PROVIDER_VS_LIST_RATE_DIFFERENCE,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE_NOT_INVOICE,"Config list-rate calculation can differ from provider-reported charge, including cached or provider-specific pricing; not a billing-error finding",0,CURRENT_SELECTED_SCORED_RUN_EVALUATION_ONLY;EXCLUDES_EXTRA_PROVIDER_ERROR
mistral_small_3_2_v2,mistralai/mistral-small-3.2-24b-instruct,52,52,0.10114050,0.10349175000,-0.00235125000,PROVIDER_VS_LIST_RATE_DIFFERENCE,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE_NOT_INVOICE,"Config list-rate calculation can differ from provider-reported charge, including cached or provider-specific pricing; not a billing-error finding",0,CURRENT_SELECTED_SCORED_RUN_EVALUATION_ONLY;EXCLUDES_EXTRA_PROVIDER_ERROR
gemini2_5_flash_v2,google/gemini-2.5-flash,52,52,0.18117530,0.379968199999999994,-0.198792899999999994,PROVIDER_VS_LIST_RATE_DIFFERENCE,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE_NOT_INVOICE,"Config list-rate calculation can differ from provider-reported charge, including cached or provider-specific pricing; not a billing-error finding",0,CURRENT_SELECTED_SCORED_RUN_EVALUATION_ONLY;EXCLUDES_EXTRA_PROVIDER_ERROR
claude_opus5_frontier_negative_v2,anthropic/claude-opus-5,18,18,1.644405,0,1.644405,PROVIDER_VS_LIST_RATE_DIFFERENCE,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE_NOT_INVOICE,"Config list-rate calculation can differ from provider-reported charge, including cached or provider-specific pricing; not a billing-error finding",0,CURRENT_SELECTED_SCORED_RUN_EVALUATION_ONLY;EXCLUDES_EXTRA_PROVIDER_ERROR
qwen3_30b_v1,qwen/qwen3-30b-a3b-instruct-2507,52,52,0.06968878,0.04625613719999999836,0.02343264280000000164,PROVIDER_VS_LIST_RATE_DIFFERENCE,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE_NOT_INVOICE,"Config list-rate calculation can differ from provider-reported charge, including cached or provider-specific pricing; not a billing-error finding",0,CURRENT_SELECTED_SCORED_RUN_EVALUATION_ONLY;EXCLUDES_EXTRA_PROVIDER_ERROR
