weighting_view,model,matched_case_trial_keys,v1_pass_rate,v2_pass_rate,delta_pass_rate_pp,v1_invalid_output_rate,v2_invalid_output_rate,delta_invalid_output_rate_pp,v1_avg_input_tokens,v2_avg_input_tokens,delta_input_tokens,v1_avg_output_tokens,v2_avg_output_tokens,delta_output_tokens,v1_avg_turns,v2_avg_turns,delta_turns,v1_ai_cost_per_referral,v2_ai_cost_per_referral,delta_ai_cost_per_referral,v1_fallback_cost_per_referral,v2_fallback_cost_per_referral,delta_fallback_cost_per_referral,v1_total_cost_per_referral,v2_total_cost_per_referral,delta_total_cost_per_referral,v1_monthly_scenario,v2_monthly_scenario,delta_monthly_cost,reliability_fallback_effect_per_referral,reliability_fallback_effect_monthly,measurement_status
trial_weighted,qwen/qwen3-30b-a3b-instruct-2507,52,0.38461538461538464,0.5384615384615384,15.38461538461538,0.5,0.2692307692307692,-23.076923076923077,16697,17880.846153846152,1183.8461538461524,443.3076923076923,420.34615384615387,-22.961538461538453,3.269230769230769,3.4423076923076925,0.17307692307692335,0.001340168846153846,0.0014655825,0.00012541365384615387,5.641025641025641,4.230769230769231,-1.4102564102564106,5.642365809871795,4.232234813269231,-1.4101309966025646,22569.46323948718,16928.939253076922,-5640.523986410259,1.4102564102564097,5641.025641025639,MEASURED_MATCHED_PROMPT_CONTROL_PLUS_ASSUMED_FALLBACK
case_balanced,qwen/qwen3-30b-a3b-instruct-2507,52,0.4,0.6,19.999999999999996,0.55,0.31666666666666665,-23.33333333333334,17406.9,18933.966666666667,1527.0666666666657,471.03333333333336,452.43333333333334,-18.600000000000023,3.35,3.558333333333333,0.20833333333333304,0.001400171,0.00154349375,0.00014332275000000002,5.499999999999999,3.6666666666666665,-1.8333333333333326,5.501400170999999,3.6682101604166664,-1.833190010583333,22005.600683999997,14672.840641666666,-7332.7600423333315,1.8333333333333328,7333.333333333331,MEASURED_MATCHED_PROMPT_CONTROL_PLUS_ASSUMED_FALLBACK
